contrast-45;energy-45;homogenity-45;correlation-45;dissimilarity-45;ASM-45;contrast-135;energy-135;homogenity-135;correlation-135;dissimilarity-135;ASM-135;target
1766642431;0.04776224;0.2900807;0.90477872;201117057;0.00351113;763683389;0.05925478;0.40444537;0.9588083;201117057;0.00351113;2
1668316909;0.05176384;0.29192607;0.89161241;199555184;0.0040403;748656633;0.06356336;0.4036507;0.9513716;199555184;0.0040403;2
1778060648;0.04893741;0.28855978;0.89587142;205075808;0.00360527;796003344;0.06004386;0.3988354;0.95337487;205075808;0.00360527;2
1907568148;0.04613808;0.27995788;0.90432677;209176143;0.00327491;828993311;0.05722679;0.39384806;0.95850163;209176143;0.00327491;2
1556531806;0.05224781;0.30743913;0.90935386;189570792;0.00410939;687430323;0.06410449;0.4204844;0.96002583;189570792;0.00410939;2
1705768392;0.05167634;0.28802623;0.88136495;201849498;0.00403872;762620959;0.06355094;0.40015975;0.94692967;201849498;0.00403872;2
1683874901;0.05122017;0.29843605;0.89331951;202362319;0.00391612;792157191;0.06257889;0.40526273;0.94980823;202362319;0.00391612;2
1796450823;0.05064566;0.28552486;0.88623931;202241918;0.00394371;768489409;0.06279895;0.40115572;0.95133439;202241918;0.00394371;2
1718630664;0.04979183;0.29302361;0.89541021;200483835;0.00376701;765063545;0.06137598;0.40595442;0.95345347;200483835;0.00376701;2
1586000157;0.05074649;0.30255091;0.90478224;191670011;0.00391016;696421405;0.06253127;0.41578376;0.95816272;191670011;0.00391016;2
1768752027;0.0499665;0.29114931;0.89534566;209392419;0.00370532;848710145;0.06087134;0.39425644;0.95011196;209392419;0.00370532;1
1529532108;0.05816177;0.30804071;0.87573477;195053512;0.00495384;740667781;0.07038353;0.41426623;0.93986457;195053512;0.00495384;1
138708963;0.05842786;0.32031741;0.89010049;181975474;0.0050745;648604236;0.07123551;0.43302493;0.94860351;181975474;0.0050745;1
1769132336;0.05017854;0.29145764;0.89539048;208316611;0.00371578;831360089;0.06095722;0.39595519;0.95084605;208316611;0.00371578;1
1854226463;0.04893812;0.28772379;0.89638402;21374359;0.00355955;882443701;0.05966193;0.39158708;0.95067283;21374359;0.00355955;1
1600784108;0.05528866;0.30117384;0.88290846;19661427;0.00455201;737853958;0.06746861;0.41123743;0.94601032;19661427;0.00455201;1
1474684847;0.05586489;0.30947946;0.89523886;189154961;0.00464208;693433668;0.0681328;0.42108774;0.95072283;189154961;0.00464208;1
1393339001;0.05890071;0.31763179;0.88632658;18519175;0.00504401;652560758;0.07102117;0.42428256;0.94683559;18519175;0.00504401;1
1656211899;0.05327153;0.29693118;0.88510533;197694537;0.00429284;75148495;0.06551978;0.40979292;0.94784396;197694537;0.00429284;1
1657507187;0.05425148;0.29873935;0.8814917;199523969;0.00438733;766146042;0.06623695;0.4078344;0.94525834;199523969;0.00438733;1
130499547;0.05759074;0.3166746;0.89328927;167824972;0.00526926;534143813;0.07258968;0.44951927;0.95632901;167824972;0.00526926;2
1189850225;0.0607566;0.33556771;0.89646854;159071349;0.00578264;485298774;0.0760437;0.46511853;0.95778248;159071349;0.00578264;2
1045503965;0.06749712;0.34819668;0.88028228;150594203;0.00706683;434014493;0.08406442;0.47945986;0.95031962;150594203;0.00706683;2
1095573875;0.06346099;0.34584059;0.89442081;158365663;0.00611291;482878484;0.07818513;0.46715979;0.95346289;158365663;0.00611291;2
1185589647;0.06060045;0.33232214;0.8963715;16535786;0.00557994;518247492;0.074699;0.45339727;0.95472869;16535786;0.00557994;2
1128019821;0.06281517;0.33646103;0.89238837;152493868;0.0063151;447853958;0.07946762;0.47782885;0.95723196;152493868;0.0063151;2
923150748;0.0732505;0.36967261;0.88161533;143122631;0.00811158;396257525;0.09006431;0.49485829;0.94923272;143122631;0.00811158;2
904209125;0.07097043;0.37263192;0.89823984;141086957;0.00763383;383807135;0.08737179;0.498125;0.95682122;141086957;0.00763383;2
903243812;0.0721792;0.37500074;0.8956368;142404682;0.00771819;394982163;0.08785325;0.49699455;0.95437387;142404682;0.00771819;2
1035024217;0.06498739;0.35276611;0.89777875;155474916;0.0063846;472348941;0.07990367;0.47450578;0.95336786;155474916;0.0063846;2
1228298341;0.05268996;0.34718772;0.95132254;173571906;0.00398002;603516165;0.06308742;0.45069282;0.97610185;173571906;0.00398002;1
1402316529;0.05201515;0.34590959;0.94213835;180837235;0.00388788;689874025;0.06235284;0.45036253;0.97154352;180837235;0.00388788;1
1688449794;0.04312503;0.31548895;0.94899051;199668896;0.0027357;810774805;0.05230391;0.41943934;0.97551767;199668896;0.0027357;1
1310275053;0.05519437;0.35133613;0.94664657;173383501;0.0043549;627403567;0.06599164;0.45826888;0.97445479;173383501;0.0043549;1
1326345343;0.05267984;0.34182906;0.9398992;18206689;0.00389317;659850613;0.06239525;0.43894948;0.97006509;18206689;0.00389317;1
1142270221;0.05714836;0.36902356;0.93595614;163792642;0.00468556;559875139;0.06845116;0.47318916;0.96864411;163792642;0.00468556;1
1642772452;0.04592762;0.31894276;0.95331971;200904125;0.00300435;829327759;0.05481199;0.41580314;0.97644986;200904125;0.00300435;1
1997890404;0.04705057;0.29825095;0.93778333;224512821;0.00316001;1092209588;0.05621393;0.39530762;0.96600125;224512821;0.00316001;1
633268084;0.07083871;0.4518293;0.95782294;120891862;0.00699814;320911929;0.08365488;0.55641466;0.97867986;120891862;0.00699814;1
1765323654;0.04307135;0.308176;0.94568482;216240803;0.00263571;971801561;0.05133912;0.40296796;0.97011367;216240803;0.00263571;1
1262138007;0.05401571;0.32870513;0.92058887;172733556;0.00447338;586091416;0.0668833;0.45086673;0.96311105;172733556;0.00447338;3
1195002293;0.054619;0.33672919;0.92811089;168369008;0.00452387;553590858;0.06725974;0.45718758;0.96668892;168369008;0.00452387;3
1253002763;0.05435134;0.33490956;0.92500305;170128205;0.00447364;568830546;0.06688525;0.45580701;0.96595108;170128205;0.00447364;3
929333005;0.06380138;0.3823362;0.94041554;14154961;0.00607186;405995541;0.07792213;0.50627049;0.97394237;14154961;0.00607186;3
1885654523;0.04818549;0.29499519;0.91812373;211956522;0.00348419;954195095;0.05902701;0.4043442;0.95852679;211956522;0.00348419;3
